key,korean,english,context,files
actions,Actions,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/AgentsDashboard.tsx
active,Active,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AdminSessionDetails.tsx
admin_agents,/admin/agents/,,Template literal head in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; services/api.ts
admin_portal,Admin Portal,,JSX text content in pages/auth/Login.tsx,pages/auth/Login.tsx
admin_sessions,/admin/sessions/,,Template literal head in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; services/api.ts
agent,Agent:,,Template literal head in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
agent_instructions,Agent Instructions,,JSX text content in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
ai_kr_a5b9ef21,AI 분석,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
aikr_30dd76ba,AI분석리포트_,,Template literal head in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx
amazon_web_services,Amazon Web Services,,String literal in components/TopNavigation.tsx,components/TopNavigation.tsx
analysis_status,/analysis-status,,Template literal span in services/api.ts,services/api.ts
analyze,/analyze,,Template literal span in services/api.ts,services/api.ts
assistant,Assistant,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
assistant_at,Assistant at,,Template literal head in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx
auth_confirm,/auth/confirm,,Template literal span in services/auth.ts,services/auth.ts
auth_signin,/auth/signin,,Template literal span in services/auth.ts,services/auth.ts
auth_signup,/auth/signup,,Template literal span in services/auth.ts,services/auth.ts
auth_verify,/auth/verify,,Template literal span in services/auth.ts,services/auth.ts
authority_kr_6fa99108,Authority (권한),,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
aws_kr_5bc8dd11_kr_d8ab5eae_kr_5a601c73__64d75459,AWS 클라우드 서비스 신규 도입을 검토하고 계신가요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
aws_kr_726f4aa2_ai_kr_e70dbdb8_kr_93c19b_51e5ce8e,AWS 만남전에 AI 에이전트와 대화하여 논의 주제와 기대사항을 공유해 주세요.,,JSX text content in components/Layout.tsx,components/Layout.tsx
aws_kr_de7dab89_kr_da34d558_kr_9bbd9ee4__f78bba23,AWS 사용 비용을 최적화하고 효율성을 높이고 싶으신가요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
